Data e Hora,Temperatura (°C)
2024-08-01 00:00:00,30.209911603341133
2024-08-01 01:00:00,30.31765677135156
2024-08-01 02:00:00,30.726537206417763
2024-08-01 03:00:00,30.765554849601493
2024-08-01 04:00:00,31.33821239687504
2024-08-01 05:00:00,32.23973618749109
2024-08-01 06:00:00,31.942877715948296
2024-08-01 07:00:00,31.79735942570439
2024-08-01 08:00:00,31.83249311198111
2024-08-01 09:00:00,31.919057527040497
2024-08-01 10:00:00,32.07011539976715
2024-08-01 11:00:00,30.897713905610907
2024-08-01 12:00:00,29.17543714931862
2024-08-01 13:00:00,29.498124969103987
2024-08-01 14:00:00,29.5321149342039
2024-08-01 15:00:00,28.68302685317868
2024-08-01 16:00:00,28.914609293121977
2024-08-01 17:00:00,28.774045051121565
2024-08-01 18:00:00,27.79570502672659
2024-08-01 19:00:00,27.764683546599873
2024-08-01 20:00:00,27.88805899405213
2024-08-01 21:00:00,28.57992907508728
2024-08-01 22:00:00,28.582846818356263
2024-08-01 23:00:00,29.89007031483316
2024-08-02 00:00:00,29.957067067353325
2024-08-02 01:00:00,30.919473839105034
2024-08-02 02:00:00,31.470151057728845
2024-08-02 03:00:00,31.906049205638055
2024-08-02 04:00:00,31.89660880028831
2024-08-02 05:00:00,31.872786842089017
2024-08-02 06:00:00,32.60723614769471
2024-08-02 07:00:00,31.634233223127083
2024-08-02 08:00:00,30.171816636042408
2024-08-02 09:00:00,31.644615355837843
2024-08-02 10:00:00,30.996480696217404
2024-08-02 11:00:00,30.15603561771049
2024-08-02 12:00:00,30.349648830202035
2024-08-02 13:00:00,28.59673268080558
2024-08-02 14:00:00,28.175022259767605
2024-08-02 15:00:00,28.35288585062794
2024-08-02 16:00:00,28.89855515460036
2024-08-02 17:00:00,28.94749731921474
2024-08-02 18:00:00,28.221467614822476
2024-08-02 19:00:00,28.988532448414237
2024-08-02 20:00:00,27.906027573495674
2024-08-02 21:00:00,29.374558695295818
2024-08-02 22:00:00,30.068978304830345
2024-08-02 23:00:00,29.666772725354864
2024-08-03 00:00:00,30.165865301609884
2024-08-03 01:00:00,30.936146183501396
2024-08-03 02:00:00,31.19391560957915
2024-08-03 03:00:00,31.29562033787914
2024-08-03 04:00:00,32.571542064626826
2024-08-03 05:00:00,31.105016418232672
2024-08-03 06:00:00,31.994213630722406
2024-08-03 07:00:00,31.831533861570733
2024-08-03 08:00:00,31.735608765453197
2024-08-03 09:00:00,31.771455795168684
2024-08-03 10:00:00,30.8489463354921
2024-08-03 11:00:00,30.26068516584416
2024-08-03 12:00:00,29.406098693788103
2024-08-03 13:00:00,29.5849120314442
2024-08-03 14:00:00,29.719408322614072
2024-08-03 15:00:00,28.552479262959398
2024-08-03 16:00:00,27.99209341131419
2024-08-03 17:00:00,28.03510939543291
2024-08-03 18:00:00,28.214182777980167
2024-08-03 19:00:00,28.008166387647506
2024-08-03 20:00:00,28.701555681508843
2024-08-03 21:00:00,27.413785306919404
2024-08-03 22:00:00,29.245545426261515
2024-08-03 23:00:00,29.32539069955954
2024-08-04 00:00:00,29.26195707284669
2024-08-04 01:00:00,30.924930846757242
2024-08-04 02:00:00,31.4007447933316
2024-08-04 03:00:00,31.3538475730751
2024-08-04 04:00:00,31.39076305888253
2024-08-04 05:00:00,32.2768901390727
2024-08-04 06:00:00,31.611006824897764
2024-08-04 07:00:00,31.71085358666569
2024-08-04 08:00:00,31.76077137380359
2024-08-04 09:00:00,32.48727770010343
2024-08-04 10:00:00,31.01145957901333
2024-08-04 11:00:00,31.071644872787484
2024-08-04 12:00:00,30.230422671943746
2024-08-04 13:00:00,29.46995618106038
2024-08-04 14:00:00,29.365318762675482
2024-08-04 15:00:00,27.96051488662953
2024-08-04 16:00:00,28.498795426462316
2024-08-04 17:00:00,28.177489577808302
2024-08-04 18:00:00,28.41345594727793
2024-08-04 19:00:00,28.55633996672525
2024-08-04 20:00:00,27.990800396434363
2024-08-04 21:00:00,27.98047821624217
2024-08-04 22:00:00,29.553365093873307
2024-08-04 23:00:00,28.57026579571085
2024-08-05 00:00:00,30.523602245555214
2024-08-05 01:00:00,30.216198586035315
2024-08-05 02:00:00,29.86963443075015
2024-08-05 03:00:00,31.406168801982574
2024-08-05 04:00:00,31.625094381382368
2024-08-05 05:00:00,31.899645174163936
2024-08-05 06:00:00,31.672636696209384
2024-08-05 07:00:00,32.1111727379931
2024-08-05 08:00:00,31.661825416682753
2024-08-05 09:00:00,31.88445672901961
2024-08-05 10:00:00,29.949702356380495
2024-08-05 11:00:00,30.92578340227501
2024-08-05 12:00:00,29.371450463175176
2024-08-05 13:00:00,29.377382978903103
2024-08-05 14:00:00,29.04843202438831
2024-08-05 15:00:00,29.784153943901376
2024-08-05 16:00:00,27.466574107961325
2024-08-05 17:00:00,26.675926482739936
2024-08-05 18:00:00,28.25405146848917
2024-08-05 19:00:00,28.934373645491725
2024-08-05 20:00:00,27.968838760228138
2024-08-05 21:00:00,28.63318182568808
2024-08-05 22:00:00,28.66790995416101
2024-08-05 23:00:00,29.615725756667295
